spec,outcome,variable,mean_abs_shap,mean_abs_shap_sd,mean_shap,median_shap,mean_abs_shap_ci,median_ale_delta,direction_flag,mean_abs_shap_share
lean90,augmentation_share,internet_users_pct,0.003022538437736773,9.87931593521976e-05,0.00045530793178882536,0.0020850113431805867,0.0001936345923303073,0.005807567241429308,positive,0.18866556323815808
lean90,augmentation_share,log_gdp_per_capita,0.005229803559967151,0.00025633217709763735,-0.00032770155299592966,0.002018257054299557,0.0005024110671113692,0.017844483623595028,positive,0.32644211300913656
lean90,augmentation_share,wgi_government_effectiveness_score,0.0022337644165197025,6.806677534841372e-05,0.00024937760258683493,0.0011137451990541264,0.0001334108796828909,0.005910668528654519,positive,0.13943062444546062
lean90,augmentation_share,wgi_regulatory_quality_score,0.0028961728250917187,0.00015323719615943846,-0.0003065650102234255,-0.0005044137123975547,0.00030034490447249936,0.00879230668741704,positive,0.18077787546355176
lean90,substitution_within_exposed,barro_lee_years_schooling_15_64,0.0032695718622483224,0.00015869399348204143,-0.00027437792278609127,-0.0016109861239287909,0.0003110402272248012,-0.014644472397427288,negative,0.14502614972393138
lean90,substitution_within_exposed,goods_trade_openness,0.0009502366054763886,7.965117910997272e-05,-4.274713036063642e-05,0.00021816238107277673,0.00015611631105554654,-0.002094009000134615,negative,0.042148991374122764
lean90,substitution_within_exposed,internet_users_pct,0.004537051112792748,0.00013198568216231358,6.315957033873362e-05,0.0005070265056650324,0.0002586919370381346,-0.006345704682484184,negative,0.20124685485167548
lean90,substitution_within_exposed,log_gdp_per_capita,0.006262506970802091,0.00024283285503533383,0.00021747107489476593,-0.0008477279401050133,0.0004759523958692543,-0.030151075357423753,negative,0.2777817132822293
lean90,substitution_within_exposed,wgi_government_effectiveness_score,0.005162119045517145,0.00028464282561461844,-0.0001557698209638165,-0.00021168177611624047,0.0005578999382046521,-0.02253321514755228,negative,0.228972563115075
lean90,substitution_within_exposed,wgi_regulatory_quality_score,0.0023632200888083293,0.00011428097787597014,0.00030278448157096394,-0.0002168827507341238,0.00022399071663690146,-0.009485221438203942,negative,0.10482372765296605
lean90,both_within_exposed,barro_lee_years_schooling_15_64,0.0029780815278858683,9.532175190521315e-05,-0.00019753526552137825,-0.0006705857003173005,0.00018683063373421777,0.006809436568802493,positive,0.17696771075684523
lean90,both_within_exposed,goods_trade_openness,0.001360854919719333,4.9464334996597885e-05,-9.88312047403596e-07,-0.0002899411320990473,9.695009659333186e-05,-0.0022433973233089953,negative,0.08086661750522439
lean90,both_within_exposed,internet_users_pct,0.002105707197589702,0.00014075306459879265,-0.00013886313453816325,-0.00023066610798737615,0.00027587600661363356,0.008732782172459201,positive,0.12512826757506507
lean90,both_within_exposed,log_gdp_per_capita,0.005480768455022307,9.167121828812065e-05,7.052248387659306e-05,-0.0012744507443607036,0.00017967558784471647,0.014151100723595818,positive,0.3256858610456417
lean90,both_within_exposed,wgi_government_effectiveness_score,0.00279616202915513,0.00016144019948782502,0.00012345137104451215,-0.00020034737679736823,0.00031642279099613704,0.00999033912486027,positive,0.16615743678316194
lean90,both_within_exposed,wgi_regulatory_quality_score,0.002106815157856286,0.00013177315587297033,5.603447092012438e-05,-0.0006617999566463147,0.00025827538551102184,0.0033307654530435843,positive,0.12519410633406175
lean90,augmentation_within_exposed,barro_lee_years_schooling_15_64,0.0015591769326257783,0.00015803551866853314,4.880952167095447e-05,0.0007091517085583189,0.00030974961659032497,0.005491590873373268,positive,0.10420339292676797
lean90,augmentation_within_exposed,goods_trade_openness,0.0009555002805112496,0.00015083872261165428,-5.249129332618686e-07,0.00011550959094438263,0.0002956438963188424,0.002348094911015865,positive,0.06385828900384836
lean90,augmentation_within_exposed,internet_users_pct,0.0026426595228351045,7.728639235591527e-05,0.0002966162767239988,-0.00010567759271431555,0.00015148132901759393,-0.0008438615609511102,negative,0.1766150350659047
lean90,augmentation_within_exposed,log_gdp_per_capita,0.004437525134706348,0.00018370940910953512,-0.0003880309732925913,0.0023545997297645563,0.00036007044185468884,0.019614951649875655,positive,0.296570046386902
lean90,augmentation_within_exposed,wgi_government_effectiveness_score,0.0024905390793167393,0.00010421783345398836,0.00032062020877817945,0.0010664724583079625,0.00020426695356981717,0.010962505870834274,positive,0.16644847473753754
lean90,augmentation_within_exposed,wgi_regulatory_quality_score,0.002877422129302554,0.00015724294488695404,-0.00022745815697784678,0.0006347322934052213,0.0003081961719784299,0.010501117374703044,positive,0.19230476187903944
minimal118,share_exposed,goods_trade_openness,0.0009394146185837494,5.403413196105186e-05,5.7430918367382525e-05,0.00010457566116490186,0.00010590689864366164,0.0003299072327083506,positive,0.006339094234794881
minimal118,share_exposed,internet_users_pct,0.04496365012875483,0.0012254488377022256,0.002254549550599323,0.03477775375471846,0.002401879721896362,0.1262042910160681,positive,0.30341109204392624
minimal118,share_exposed,log_gdp_per_capita,0.05775060072116354,0.002231566679326387,-4.431925410161535e-05,0.026132505974437937,0.004373870691479719,0.1853614947113593,positive,0.3896964054480828
minimal118,share_exposed,wgi_government_effectiveness_score,0.023645676744750613,0.0020801190967398822,-9.939207124356979e-05,0.008711228310711406,0.004077033429610169,0.0840905818066378,positive,0.1595591234852697
minimal118,share_exposed,wgi_regulatory_quality_score,0.02089448229677946,0.0011959479234063188,-0.001947274411779049,0.006472913984050635,0.0023440579298763847,0.05232529766997803,positive,0.14099428478792636
minimal118,substitution_share,goods_trade_openness,0.0005970688687610291,3.216511217819105e-05,8.833657566244727e-05,7.119054227872823e-06,6.304361986925445e-05,-0.001693928342420904,negative,0.011319972871348536
minimal118,substitution_share,internet_users_pct,0.01920332063452029,0.0004959017313407204,0.0010650134623336768,0.014108451915586781,0.0009719673934278119,0.050023191964096,positive,0.36408039339525816
minimal118,substitution_share,log_gdp_per_capita,0.018029136816911217,0.0007428640880525183,0.0003656294181800587,0.004803990022861793,0.0014560136125829357,0.058890973592077206,positive,0.3418187588389419
minimal118,substitution_share,wgi_government_effectiveness_score,0.007341849217686447,0.0005168348752396278,-0.0005901659016285456,-0.00023080321173605568,0.0010129963554696706,0.029221680395134786,positive,0.13919589233014562
