iso3,ilostat_year,sex,isco_major,employment_value,employment_share
BHS,2019,SEX_F,5,36.826,0.36309676401569674
BHS,2019,SEX_F,6,0.203,0.0020015381278223657
BHS,2019,SEX_F,7,1.724,0.016998284395890437
BHS,2019,SEX_F,8,1.058,0.010431661769635779
BHS,2019,SEX_F,9,12.99,0.1280787205931652
BHS,2019,SEX_M,0,0.205,0.0018737888925450623
BHS,2019,SEX_M,1,7.714,0.07050930496142738
BHS,2019,SEX_M,2,5.743,0.052493510292128266
BHS,2019,SEX_M,3,11.659,0.10656831560089211
BHS,2019,SEX_M,4,3.498,0.031973236810354286
BHS,2019,SEX_M,5,24.617,0.2250100544769844
BHS,2019,SEX_M,6,3.93,0.035921904135132174
BHS,2019,SEX_M,7,24.122,0.22048553983400973
BHS,2019,SEX_M,8,9.76,0.08921063215238931
BHS,2019,SEX_M,9,18.156,0.16595371284413732
BIH,2024,SEX_F,0,0.461,0.0008453658912283661
BIH,2024,SEX_F,1,8.969,0.01644704268639309
BIH,2024,SEX_F,2,116.355,0.21336778367435258
BIH,2024,SEX_F,3,52.538,0.09634237135218199
BIH,2024,SEX_F,4,42.908,0.07868320967641373
BIH,2024,SEX_F,5,133.382,0.2445913086850801
BIH,2024,SEX_F,6,97.617,0.17900668590897922
BIH,2024,SEX_F,7,35.261,0.06466040496877097
BIH,2024,SEX_F,8,9.176,0.01682663214297503
BIH,2024,SEX_F,9,48.659,0.08922919501362488
BIH,2024,SEX_M,0,7.766,0.009602532318592386
BIH,2024,SEX_M,1,26.284,0.03249973724721636
BIH,2024,SEX_M,2,97.762,0.12088111827584713
BIH,2024,SEX_M,3,56.703,0.07011233454302654
BIH,2024,SEX_M,4,37.908,0.04687262363291272
BIH,2024,SEX_M,5,112.057,0.13855665259136066
BIH,2024,SEX_M,6,79.025,0.09771312341961928
BIH,2024,SEX_M,7,198.199,0.2450698304162622
BIH,2024,SEX_M,8,117.234,0.14495792864252635
BIH,2024,SEX_M,9,75.807,0.09373411891263624
BLR,2024,SEX_F,1,214.657,0.08854887705617279
BLR,2024,SEX_F,2,763.41,0.3149168125588863
BLR,2024,SEX_F,3,346.735,0.1430328146115527
BLR,2024,SEX_F,4,119.142,0.04914766492696039
BLR,2024,SEX_F,5,530.087,0.21866796140855158
BLR,2024,SEX_F,6,66.986,0.027632618915221913
BLR,2024,SEX_F,7,140.148,0.05781292024797002
BLR,2024,SEX_F,8,71.355,0.029434889718682404
BLR,2024,SEX_F,9,171.644,0.07080544055600199
BLR,2024,SEX_M,1,260.356,0.10970635527943612
BLR,2024,SEX_M,2,337.406,0.1421729574483147
BLR,2024,SEX_M,3,131.146,0.05526106434834199
BLR,2024,SEX_M,4,29.843,0.012574961823826654
BLR,2024,SEX_M,5,195.083,0.0822022342752932
BLR,2024,SEX_M,6,59.767,0.02518405466356089
BLR,2024,SEX_M,7,606.847,0.25570746432676783
BLR,2024,SEX_M,8,591.073,0.2490607650066914
BLR,2024,SEX_M,9,161.687,0.06813014282776733
BLZ,2019,SEX_F,1,0.895,0.01380597590510127
BLZ,2019,SEX_F,2,5.987,0.0923534946858562
BLZ,2019,SEX_F,3,4.99,0.07697410029771547
BLZ,2019,SEX_F,4,7.06,0.10890524010057537
BLZ,2019,SEX_F,5,26.557,0.40965955543215016
BLZ,2019,SEX_F,6,2.551,0.03935088774738921
BLZ,2019,SEX_F,7,4.179,0.0644638807904114
BLZ,2019,SEX_F,8,0.45,0.006941552131056504
BLZ,2019,SEX_F,9,12.158,0.18754531290974438
BLZ,2019,SEX_M,0,1.426,0.014158483672071249
BLZ,2019,SEX_M,1,0.684,0.006791306333588173
BLZ,2019,SEX_M,2,4.354,0.043230040608834654
BLZ,2019,SEX_M,3,7.702,0.0764716979258715
BLZ,2019,SEX_M,4,4.64,0.04606968039159228
BLZ,2019,SEX_M,5,19.372,0.19234091563489777
BLZ,2019,SEX_M,6,9.549,0.0948102107886454
BLZ,2019,SEX_M,7,18.62,0.18487445019212248
BLZ,2019,SEX_M,8,10.334,0.10260432697558505
BLZ,2019,SEX_M,9,24.036,0.23864888747679142
BOL,2024,SEX_F,0,1.062,0.0003259346375220129
BOL,2024,SEX_F,1,35.456,0.01088167467794773
BOL,2024,SEX_F,2,269.326,0.08265788341360983
BOL,2024,SEX_F,3,159.781,0.049037817625145703
BOL,2024,SEX_F,4,122.065,0.03746253439653908
BOL,2024,SEX_F,5,1146.576,0.35189155645144954
BOL,2024,SEX_F,6,748.904,0.22984345930205793
BOL,2024,SEX_F,7,428.105,0.1313881807875342
BOL,2024,SEX_F,8,15.372,0.004717765770233881
BOL,2024,SEX_F,9,331.675,0.10179319293796009
BOL,2024,SEX_M,0,4.237,0.0011887410483197845
BOL,2024,SEX_M,1,78.353,0.02198287169199907
BOL,2024,SEX_M,2,214.8,0.06026471021455976
BOL,2024,SEX_M,3,258.642,0.07256510791114601
BOL,2024,SEX_M,4,99.183,0.027826977435803913
BOL,2024,SEX_M,5,459.842,0.12901417539331278
BOL,2024,SEX_M,6,784.733,0.2201662329646281
BOL,2024,SEX_M,7,870.586,0.24425331939875566
BOL,2024,SEX_M,8,588.827,0.16520246052843843
BOL,2024,SEX_M,9,205.072,0.057535403413036305
BRA,2025,SEX_F,0,89.399,0.0020140213045736887
BRA,2025,SEX_F,1,1478.931,0.03331802975418595
BRA,2025,SEX_F,2,8139.056,0.18336035283524765
BRA,2025,SEX_F,3,4083.981,0.09200578017063006
BRA,2025,SEX_F,4,5311.979,0.11967067724972358
BRA,2025,SEX_F,5,13115.442,0.2954706384512192
BRA,2025,SEX_F,6,859.109,0.019354398024038266
BRA,2025,SEX_F,7,2183.492,0.04919070019089937
BRA,2025,SEX_F,8,1296.603,0.029210461700624822
BRA,2025,SEX_F,9,7830.317,0.17640494031885737
BRA,2025,SEX_M,0,740.157,0.01281471967384107
BRA,2025,SEX_M,1,2240.028,0.038782759443678656
BRA,2025,SEX_M,2,5521.698,0.09560000377434638
BRA,2025,SEX_M,3,5075.083,0.08786752806023095
BRA,2025,SEX_M,4,3309.168,0.05729333137921455
BRA,2025,SEX_M,5,9537.428,0.1651264072750007
BRA,2025,SEX_M,6,3724.918,0.06449142543817694
BRA,2025,SEX_M,7,11220.317,0.19426313202014356
BRA,2025,SEX_M,8,8374.474,0.144991585198641
BRA,2025,SEX_M,9,8015.074,0.13876910773672618
BRB,2023,SEX_F,1,4.96,0.0905175560259873
BRB,2023,SEX_F,2,10.242,0.18691145339075846
BRB,2023,SEX_F,3,6.306,0.11508139280239434
BRB,2023,SEX_F,4,7.383,0.13473611212497263
BRB,2023,SEX_F,5,17.75,0.32392875392364406
BRB,2023,SEX_F,6,0.474,0.008650266442806044
BRB,2023,SEX_F,7,1.141,0.02082268778742974
BRB,2023,SEX_F,8,0.565,0.010310971603766697
BRB,2023,SEX_F,9,5.975,0.10904080589824074
BRB,2023,SEX_M,1,4.564,0.07809184860721376
BRB,2023,SEX_M,2,5.763,0.0986072137430703
BRB,2023,SEX_M,3,6.339,0.1084628019984943
BRB,2023,SEX_M,4,1.778,0.030422284580110877
BRB,2023,SEX_M,5,10.136,0.1734309766614195
BRB,2023,SEX_M,6,3.002,0.05136540962288687
BRB,2023,SEX_M,7,12.344,0.2112107316405448
BRB,2023,SEX_M,8,5.334,0.09126685374033262
BRB,2023,SEX_M,9,9.184,0.15714187940592705
BRN,2024,SEX_F,0,0.704,0.00792293148464932
BRN,2024,SEX_F,1,5.334,0.060029710993067434
BRN,2024,SEX_F,2,22.469,0.25286981183037727
BRN,2024,SEX_F,3,11.412,0.128432520032412
BRN,2024,SEX_F,4,14.938,0.16811470243990279
BRN,2024,SEX_F,5,19.489,0.219332402989106
