iso3,country_name,income_level,transport_mass,exposed_mass,sub_only_mass,both_mass,aug_only_mass,transport_weighted_occ_exposed_share,transport_weighted_occ_sub_only_share,transport_weighted_occ_both_share,transport_weighted_occ_aug_only_share
GIN,Guinea,Lower middle income,23822.0,3158.9999999999995,1335.9999999999998,1593.9999999999998,228.99999999999997,0.1326085131391151,0.05608261271093946,0.06691293762068674,0.009612962807488875
GRC,Greece,High income,23822.0,12553.0,4498.0,6912.999999999999,1142.0,0.5269498782637898,0.18881705986063302,0.29019393837629076,0.04793888002686592
GTM,Guatemala,Upper middle income,23822.0,10203.0,3109.0,5644.0,1450.0,0.4283015699773319,0.1305096129628075,0.23692385190160356,0.06086810511292083
HKG,"Hong Kong SAR, China",High income,23822.0,13315.999999999998,4845.0,7240.0,1231.0,0.5589790949542439,0.20338342708420787,0.3039207455293426,0.05167492234069348
HND,Honduras,Lower middle income,23822.0,9771.999999999998,3092.9999999999995,5486.0,1193.0,0.4102090504575602,0.12983796490638902,0.2302913273444715,0.05007975820669969
HRV,Croatia,High income,23822.0,14502.0,4622.0,7292.999999999999,2587.0,0.6087650071362606,0.1940223322978759,0.30614557971622863,0.10859709512215598
HTI,Haiti,Lower middle income,23822.0,3616.9999999999995,1255.0,2086.0,276.0,0.15183443875409283,0.05268239442532113,0.08756611535555368,0.011585928973218034
HUN,Hungary,High income,23822.0,12824.0,4755.0,6960.0,1108.9999999999998,0.5383259172193771,0.19960540676685418,0.29216690454202,0.046553605910502886
IDN,Indonesia,Upper middle income,23819.0,11303.999999999998,3958.9999999999995,6514.999999999999,829.9999999999999,0.47457911751123044,0.1662118476846215,0.2735211385868424,0.03484613123976657
IND,India,Lower middle income,23822.0,11951.999999999998,4204.0,6791.0,956.9999999999999,0.5017210981445722,0.17647552682394424,0.2850726219461002,0.04017294937452774
IRL,Ireland,High income,23822.0,13202.999999999998,4758.999999999999,7187.999999999999,1256.0,0.5542355805557887,0.19977331878095875,0.30173788934598267,0.05272437242884728
IRN,"Iran, Islamic Rep.",Upper middle income,23822.0,10844.0,4009.9999999999995,6037.0,796.9999999999999,0.4552094702375955,0.16833179413987068,0.25342120728738143,0.03345646881034337
IRQ,Iraq,Upper middle income,23822.0,7779.0,2847.0,4527.999999999999,404.0,0.3265468894299387,0.11951137603895559,0.19007639996641756,0.016959113424565526
ISR,Israel,High income,23821.0,13556.999999999998,4962.0,7378.999999999999,1215.9999999999998,0.5691196843121614,0.20830359766592502,0.30976869149070146,0.051047395155535025
ITA,Italy,High income,23822.0,13076.999999999998,4700.0,7133.0,1243.9999999999998,0.5489463521114935,0.19729661657291578,0.29942909915204435,0.052220636386533445
JOR,Jordan,Lower middle income,23822.0,12589.999999999998,3809.9999999999995,6701.0,2079.0,0.5285030643942573,0.15993619343464022,0.28129460162874653,0.08727226933087062
