iso3,ilostat_year,isco_major,employment_value,employment_share,country_name,income_level,isco_major_label,exposed_share,sub_only_share,both_share,aug_only_share,matched_weight,weight_norm,exposed_share_contribution,sub_only_share_contribution,both_share_contribution,aug_only_share_contribution
EGY,2024,9,1690.916,0.056500299823994994,"Egypt, Arab Rep.",Lower middle income,Elementary occupations,0.4272215725472409,0.26375327942468463,0.1570724856706882,0.006395807451868051,1.0,0.056500299823994994,0.024138146940197742,0.01490213936705661,0.008874642534494041,0.0003613650386470863
ESP,2025,1,942.228,0.04240237651462373,Spain,High income,Managers,0.6010307175364614,0.13666546857956152,0.38739980682580827,0.07696544213109172,0.9956933300325687,0.04258577941185643,0.025595361556757536,0.005820005498147203,0.01649772271767966,0.003277633340930673
ESP,2025,2,4509.644,0.20294410995524845,Spain,High income,Professionals,0.5097463015503818,0.09065771939721395,0.33337040404347523,0.08571817810969261,0.9956933300325687,0.2038219036263005,0.10389746154846503,0.018478028945959138,0.06794819036481008,0.01747124223769583
ESP,2025,3,2648.167,0.11917346354343278,Spain,High income,Technicians,0.598792962275,0.2092356454656692,0.3407925198487073,0.04876479696062353,0.9956933300325687,0.11968892423888655,0.07166888549651093,0.025043189318215007,0.040789090089351165,0.005836606088944755
ESP,2025,4,2179.055,0.09806236978318773,Spain,High income,Clerical support,0.8338713046726388,0.5652040386935709,0.2503817185736083,0.018285547405459575,0.9956933300325687,0.0984865187155368,0.08212508185399094,0.055664978134891366,0.024659223812327942,0.0018008799067716298
ESP,2025,5,4667.395,0.21004325930928847,Spain,High income,Service and sales,0.4729149832923553,0.19933027266154726,0.2483998512316632,0.02518485939914484,0.9956933300325687,0.21095175891398013,0.09976224754229789,0.042049071622756645,0.052400385531290346,0.005312790388250888
ESP,2025,6,438.12,0.019716384143314516,Spain,High income,Skilled agriculture,0.5152869025535214,0.15443274185999212,0.3241815065947521,0.036672654098777104,0.9956933300325687,0.019801663372265035,0.010203537784501967,0.003058025167967467,0.006419333065102999,0.0007261795514314998
ESP,2025,7,2417.535,0.10879450547774093,Spain,High income,Craft and trades,0.5183621904166522,0.27466367308352063,0.22995294548231357,0.013745571850817971,0.9956933300325687,0.10926507409081701,0.0566388831417537,0.030011146589526822,0.025125825625526597,0.0015019109267002744
ESP,2025,8,1644.565,0.07400911916518314,Spain,High income,Plant and machine operators,0.6523493688370393,0.4110817407058231,0.22718434005674998,0.014083288074466273,0.9956933300325687,0.07432923063044154,0.04848862668791127,0.030555389512886492,0.016886437207702828,0.0010467999673219506
ESP,2025,9,2678.705,0.12054774214054896,Spain,High income,Elementary occupations,0.6012737704393759,0.37934901266989746,0.2118969976394023,0.01002776013007617,0.9956933300325687,0.12106914699991603,0.07279570250051856,0.04592746137920482,0.025654188756045658,0.001214052365268089
ETH,2021,1,194.984,0.005333049172450719,Ethiopia,Not classified,Managers,0.22883866387867963,0.05925191056229298,0.16208540857560336,0.00750134474078331,0.9980874663388605,0.005343268353036403,0.0012227463906540836,0.00031659885856444346,0.0008660658341309967,4.008169795864352e-05
ETH,2021,2,959.655,0.026247729575699513,Ethiopia,Not classified,Professionals,0.20254471839366522,0.041823638416506805,0.14332861994064283,0.017392460036515595,0.9980874663388605,0.026298025434564623,0.005326526155953337,0.00109987910684333,0.0037692596927000714,0.00045738735640993587
ETH,2021,3,473.405,0.01294820161389669,Ethiopia,Not classified,Technicians,0.250857925581441,0.09356276894120405,0.14600582608509127,0.011289330555145673,0.9980874663388605,0.012973012937826682,0.003254383114124397,0.0012137910119731285,0.0018941354707999614,0.0001464566313513069
ETH,2021,4,199.565,0.005458345085238418,Ethiopia,Not classified,Clerical support,0.5081771208413086,0.3026802959686928,0.20076687796425877,0.004729946908357103,0.9980874663388605,0.0054688043576586265,0.002779121252919363,0.00165529932157099,0.001097954777084456,2.586715426391727e-05
ETH,2021,5,4400.864,0.12036897444543222,Ethiopia,Not classified,Service and sales,0.15978112518205795,0.07739647008041879,0.07931294895162798,0.003071706150011188,0.9980874663388605,0.12059962528831694,0.01926954382510185,0.00933398529033694,0.009565111924077744,0.00037044661068716796
ETH,2021,6,18777.129,0.5135772795431953,Ethiopia,Not classified,Skilled agriculture,0.11343815015303485,0.0341620984928498,0.07812920927504693,0.001146842385138099,0.9980874663388605,0.5145613955328748,0.05837089284941341,0.01757849707481231,0.04020227495644818,0.000590120818152911
ETH,2021,7,1020.993,0.027925398359496045,Ethiopia,Not classified,Craft and trades,0.15262712593445446,0.0825456872256753,0.06837329732626897,0.0017081413825101688,0.9980874663388605,0.02797890896469298,0.0042703404620628325,0.0023095382683151894,0.0019130102615075653,4.779193224007682e-05
ETH,2021,8,621.147,0.016989124719568,Ethiopia,Not classified,Plant and machine operators,0.2255638310626025,0.1447926548413242,0.07934110302779146,0.001430073193486838,0.9980874663388605,0.017021679254110605,0.0038394751836760103,0.0024646141290601657,0.00135051880740641,2.434224720943461e-05
ETH,2021,9,9843.781,0.2692393638238836,Ethiopia,Not classified,Elementary occupations,0.16743214757559904,0.10941791842514882,0.056428390167958614,0.0015858389824916297,0.9980874663388605,0.2697552798769183,0.045165705829649204,0.029516061208325832,0.015221856182761619,0.00042778843856175686
FIN,2024,1,83.814,0.03240702612351046,Finland,High income,Managers,0.6095511188690256,0.14781171945943064,0.3861180097229763,0.07562138968661863,0.9963383857423622,0.03252612424378721,0.01982633542527343,0.00480774235182526,0.012558922357013363,0.002459670716434806
FIN,2024,2,689.4,0.2665593314905399,Finland,High income,Professionals,0.5237459151035913,0.09603981237896564,0.3315063631345841,0.09619973959004155,0.9963383857423622,0.26753895594610566,0.14012243530785248,0.025694391133128342,0.0886908662825172,0.025737177892206965
FIN,2024,3,481.491,0.18617046573645424,Finland,High income,Technicians,0.6245894528642911,0.22535576202541596,0.3467591889044062,0.05247450193446889,0.9963383857423622,0.18685465540679777,0.11670744698567748,0.04210877325719542,0.06479356875187352,0.009805104976608527
FIN,2024,4,124.588,0.048172460098264265,Finland,High income,Clerical support,0.8433689716161087,0.5774452763089395,0.24846943142212172,0.017454263885047422,0.9963383857423622,0.048349497306953024,0.040776465821920786,0.027919188831811815,0.012013372105404024,0.0008439048847049478
FIN,2024,5,514.179,0.19880941471783337,Finland,High income,Service and sales,0.49360306654873176,0.22520576432757228,0.24368254475418494,0.0247147574669746,0.9963383857423622,0.19954005342241468,0.09849358226860165,0.0449375702449595,0.04862442799836002,0.004931584025282133
FIN,2024,6,66.383,0.02566725863408255,Finland,High income,Skilled agriculture,0.5788554611017038,0.19198215042749284,0.3355606090680599,0.05131270160615113,0.9963383857423622,0.025761587630650323,0.014912235686652042,0.004945764991758549,0.00864457403590122,0.0013218966589922739
FIN,2024,7,253.924,0.09818075382855215,Finland,High income,Craft and trades,0.5637703594300442,0.302789751734085,0.24270272157540246,0.018277886120556672,0.9963383857423622,0.09854157506477944,0.05555481919307338,0.029837379049350268,0.023916308456548786,0.0018011316871743256
FIN,2024,8,187.185,0.0723758463374771,Finland,High income,Plant and machine operators,0.6969358016243461,0.4494207186796429,0.23274147708554765,0.014773605859155544,0.9963383857423622,0.07264183270782099,0.05062669390968686,0.032646744661755295,0.016906767442619503,0.001073181805312061
FIN,2024,9,175.857,0.0679958287756482,Finland,High income,Elementary occupations,0.6458024557345045,0.39792265135094235,0.2342801082205305,0.013599696163031577,0.9963383857423622,0.0682457182706909,0.04407325245257732,0.02715651715762277,0.0159886142620453,0.0009281210329092491
GBR,2025,1,5547.083,0.16273945878776552,United Kingdom,High income,Managers,0.626690528639332,0.14210089275085036,0.3960381098150092,0.08855152607347236,0.9991140851079722,0.16288375993636264,0.10207770962128114,0.023145927701572325,0.06450817640475878,0.01442360551495003
GBR,2025,2,8565.555,0.2512949211174304,United Kingdom,High income,Professionals,0.5286645228953923,0.09480028198245682,0.34343651465962005,0.09042772625331545,0.9991140851079722,0.2515177444328327,0.1329685083603087,0.02384395309582405,0.08638037752306112,0.022744177741423552
GBR,2025,3,4816.506,0.14130590432629644,United Kingdom,High income,Technicians,0.6083912153783899,0.21498884247594632,0.3448124449956427,0.0485899279068009,0.9991140851079722,0.1414312003328687,0.08604549986293854,0.03040613004954712,0.048767237985445015,0.006872131827946407
GBR,2025,4,3018.432,0.08855428881588263,United Kingdom,High income,Clerical support,0.8558888282810815,0.5927269817161517,0.2509222202043898,0.012239626360540037,0.9991140851079722,0.08863280994213264,0.0758598318486317,0.0525350579180216,0.022239941453633637,0.0010848324769764618
GBR,2025,5,5085.03,0.14918381969758723,United Kingdom,High income,Service and sales,0.4846039312855148,0.2152222050469249,0.24705130769164463,0.02233041854694522,0.9991140851079722,0.14931610105513152,0.07235916957554193,0.03213614051809487,0.036888738025088,0.0033342910323590556
GBR,2025,6,353.503,0.01037101606373142,United Kingdom,High income,Skilled agriculture,0.5294834063179253,0.16683060631531138,0.31684865846396637,0.04580414153864753,0.9991140851079722,0.010380212048167298,0.005496150033565989,0.0017317370696772504,0.003288956262033309,0.00047545670185542927
GBR,2025,7,2085.94,0.061196983471087714,United Kingdom,High income,Craft and trades,0.5255083106634322,0.28096251884337475,0.23013219325218903,0.014413598567868424,0.9991140851079722,0.061251246862838775,0.032188039264919255,0.017209304600880538,0.014095883779976351,0.0008828508840623683
GBR,2025,8,1475.275,0.04328138862589956,United Kingdom,High income,Plant and machine operators,0.6508613424643689,0.4152230917191583,0.22455282935265192,0.011085421392558649,0.9991140851079722,0.04331976625194132,0.02819516121798119,0.01798736727568233,0.009727576078768948,0.00048021786352991046
GBR,2025,9,3108.146,0.09118630420229125,United Kingdom,High income,Elementary occupations,0.6038819547878869,0.37759348076575944,0.2136477743231482,0.012640699698979237,0.9991140851079722,0.09126715913772443,0.05511459046802618,0.03446188429841585,0.0194990254185714,0.0011536807510389234
GHA,2024,1,919.705,0.019019285206331553,Ghana,Lower middle income,Managers,0.31909295457377257,0.06793428438463785,0.2333450257011813,0.017813644487953393,0.9987046814277742,0.019043953192590512,0.006076791290988336,0.0012937373319931757,0.004443811747177126,0.00033924221181803237
GHA,2024,2,2816.592,0.058246466592952954,Ghana,Lower middle income,Professionals,0.276744116974867,0.04553886391282731,0.204490231289041,0.026715021772998688,0.9987046814277742,0.05832201217849734,0.016140273760535687,0.0026559181757188476,0.011926281759623188,0.0015580738251936511
GHA,2024,3,700.922,0.014494903719553904,Ghana,Lower middle income,Technicians,0.32758083032011853,0.10027436186592883,0.2141423581901787,0.013164110264010999,0.9987046814277742,0.014513703589364988,0.0047544110728242675,0.001455352365734815,0.00310799871269988,0.00019105999438957292
GHA,2024,4,747.542,0.01545899446204109,Ghana,Lower middle income,Clerical support,0.6024923059662798,0.33120551524446584,0.2664760848614326,0.00481070586038131,0.9987046814277742,0.015479044756194101,0.009326005369314634,0.005126744993967414,0.004124795244025492,7.446513132172754e-05
GHA,2024,5,13963.985,0.2887719576733145,Ghana,Lower middle income,Service and sales,0.21771990213654022,0.08806284038869838,0.12552113465808962,0.0041359270897521885,0.9987046814277742,0.2891464944977314,0.06295294648516975,0.025463061593905375,0.03629399607176431,0.0011958888195000494
GHA,2024,6,17501.085,0.3619183619043617,Ghana,Lower middle income,Skilled agriculture,0.17190881459463123,0.04013870748249309,0.11218246393041835,0.01958764318171979,0.9987046814277742,0.3623877695125588,0.06229765188049643,0.014545776675697725,0.04065355288216738,0.0070983223226313156
GHA,2024,7,6396.961,0.1322876636669148,Ghana,Lower middle income,Craft and trades,0.19693313867791531,0.09469845922458349,0.09781469590917018,0.004419983544161663,0.9987046814277742,0.13245924058130268,0.02608561399456903,0.012543685993107786,0.012956460337819735,0.0005854676636415086
GHA,2024,8,2297.437,0.04751046210097666,Ghana,Lower middle income,Plant and machine operators,0.27956030868360976,0.1656581442876434,0.11103991118837714,0.002862253207589241,0.9987046814277742,0.047572083103740406,0.013299266237204004,0.00788070300686319,0.0052823998828854316,0.0001361633474553829
GHA,2024,9,2949.578,0.060996586101327056,Ghana,Lower middle income,Elementary occupations,0.20472111789683664,0.11464164510523954,0.08722742128820127,0.002852051503395799,0.9987046814277742,0.06107569858801978,0.012503485291269658,0.007001818562082343,0.005327475691208401,0.0001741910379789105
GIN,2019,1,25.448,0.007979027773902045,Guinea,Lower middle income,Managers,0.15342476034855188,0.054004060682166774,0.09191647762057448,0.007504222045810647,0.9897941938839787,0.008061299837082422,0.001236802995602191,0.0004353429255789402,0.0007409662860679271,6.0493783955323684e-05
GIN,2019,2,173.241,0.05431840421952862,Guinea,Lower middle income,Professionals,0.1305457915014362,0.03289191708944934,0.08139931245840144,0.0162545619535854,0.9897941938839787,0.05487848338085492,0.007164155049352118,0.0018050585253578037,0.004467070815961401,0.0008920257080329131
GIN,2019,3,37.445,0.011740596313807061,Guinea,Lower middle income,Technicians,0.16003341726539677,0.0671299603769962,0.0827901972540704,0.010113259634330178,0.9897941938839787,0.011861654055310882,0.001898261032891352,0.0007962723667386558,0.000982028678998732,0.0001199599871539644
GIN,2019,4,37.133,0.011642771075459945,Guinea,Lower middle income,Clerical support,0.35711554193013817,0.24511116915783446,0.10888794524359774,0.0031164275287059603,0.9897941938839787,0.011762820137157405,0.004200685887907709,0.00288319859641197,0.0012808293150050843,3.6657976490654156e-05
GIN,2019,5,1010.35,0.3167875947564418,Guinea,Lower middle income,Service and sales,0.10035940939448362,0.058247005129965126,0.040166550926571475,0.0019458533379470015,0.9897941938839787,0.32005400386656024,0.032120430802387766,0.01864218720508141,0.012855465445559296,0.0006227781517470488
GIN,2019,6,1254.086,0.3932091726210987,Guinea,Lower middle income,Skilled agriculture,0.05315671633866484,0.020415959079618143,0.02356601817794191,0.009174739081104792,0.9897941938839787,0.39726356756866343,0.021117226772933456,0.00811051673930495,0.009361920454757176,0.003644789578871331
GIN,2019,7,345.033,0.10818248545711823,Guinea,Lower middle income,Craft and trades,0.07024726588109208,0.04029571029099272,0.02663239791313538,0.003319157676963979,0.9897941938839787,0.10929795923797783,0.007677882802850993,0.004404238900850286,0.0029108667415194763,0.00036277716048123014
GIN,2019,8,102.372,0.03209796570535603,Guinea,Lower middle income,Plant and machine operators,0.11234213831944195,0.07387715012788361,0.03512952475353398,0.003335463438024355,0.9897941938839787,0.032428929067973976,0.0036431352349057043,0.0023957568612412022,0.0011392128664239893,0.00010816550724051242
GIN,2019,9,171.703,0.053836175961266226,Guinea,Lower middle income,Elementary occupations,0.08260969701293716,0.06098000066879294,0.020744576912055883,0.0008851194320883515,0.9897941938839787,0.05439128284841886,0.004493247396252848,0.003316780464473088,0.0011283241503944111,4.81427813853494e-05
GTM,2024,1,56.83,0.007502220105342628,Guatemala,Upper middle income,Managers,0.5010946463152346,0.09687435150818102,0.3129174245267024,0.09130287028035114,1.0,0.007502220105342628,0.003759322330265706,0.0007267727075767047,0.0023475753935962612,0.0006849742290927402
GTM,2024,2,446.64,0.058961667919236876,Guatemala,Upper middle income,Professionals,0.4306965227049502,0.06657134670093744,0.2643262451687125,0.09979893083530027,1.0,0.058961667919236876,0.025394585345699338,0.003925157637117058,0.015585116289976417,0.005884311418605864
GTM,2024,3,357.765,0.04722913559718292,Guatemala,Upper middle income,Technicians,0.47635593637150453,0.1383094313493608,0.279541075651607,0.05850542937053668,1.0,0.04722913559718292,0.022497879111412825,0.006532234887568223,0.013202483366932116,0.002763160856912485
GTM,2024,4,295.705,0.039036494743099455,Guatemala,Upper middle income,Clerical support,0.7247091565959449,0.40337317929511524,0.30404018820799944,0.017295789092830277,1.0,0.039036494743099455,0.028290105181733645,0.01574627499306108,0.011868663208672539,0.0006751669800000261
GTM,2024,5,1792.168,0.2365869928163239,Guatemala,Upper middle income,Service and sales,0.3232415286326895,0.1147901408851651,0.18918848494827048,0.019262902799253943,1.0,0.2365869928163239,0.07647474121255966,0.027157854236983366,0.04475953472938767,0.004557352246188638
GTM,2024,6,912.664,0.12048224899212431,Guatemala,Upper middle income,Skilled agriculture,0.34612356654912346,0.07964346597986818,0.20565073094865266,0.06082936962060265,1.0,0.12048224899212431,0.0417017457270136,0.00959562389878226,0.024777262571567937,0.00732885925666341
GTM,2024,7,1504.517,0.19861371962396226,Guatemala,Upper middle income,Craft and trades,0.31303931629387255,0.1573841790281144,0.1388013901194173,0.016853747146340855,1.0,0.19861371962396226,0.06217390299766804,0.0312586572067374,0.027567860380594156,0.0033473854103364966
GTM,2024,8,439.67,0.058041546959633886,Guatemala,Upper middle income,Plant and machine operators,0.4247892690628224,0.24400880477237322,0.1656559223116153,0.015124541978833903,1.0,0.058041546959633886,0.024655426308258357,0.014162648500759836,0.009614925993991082,0.000877851813507442
GTM,2024,9,1769.132,0.2335459732430937,Guatemala,Upper middle income,Elementary occupations,0.3245939827567243,0.18862168883219288,0.12383878170965358,0.012133512214877818,1.0,0.2335459732430937,0.07580761761177116,0.04405183589307046,0.028922048799620077,0.0028337329190806053
HKG,2024,1,437.7,0.11878112169868131,"Hong Kong SAR, China",High income,Managers,0.6133423667127181,0.14029740678755753,0.3955129342743586,0.07753202565080204,1.0,0.11878112169868131,0.0728534943034606,0.01666468334964227,0.046979469979445125,0.009209340974373198
HKG,2024,2,450.38,0.12222216493180738,"Hong Kong SAR, China",High income,Professionals,0.5123218655899379,0.09370281812796398,0.33376707164966646,0.08485197581230745,1.0,0.12222216493180738,0.06261708755430463,0.011452561291811164,0.0407937340799719,0.010370792182521571
HKG,2024,3,610.04,0.1655500010990714,"Hong Kong SAR, China",High income,Technicians,0.6040046410361721,0.20886464232839375,0.3470443117295817,0.04809568697819674,1.0,0.1655500010990714,0.09999296898738252,0.03457754176702274,0.05745318618825873,0.007962241032101063
HKG,2024,4,439.475,0.11926281347618911,"Hong Kong SAR, China",High income,Clerical support,0.8424140432712603,0.5612402963886943,0.2661196732980024,0.015054073584563598,1.0,0.11926281347618911,0.10046866891238262,0.06693509678352594,0.031738180958884046,0.001795391169972634
HKG,2024,5,699.103,0.1897195305526918,"Hong Kong SAR, China",High income,Service and sales,0.4826897902748911,0.21429152284870287,0.24340604158226403,0.02499222584392421,1.0,0.1897195305526918,0.0915756804135296,0.04065528711627734,0.04617887994267611,0.004741513354576153
HKG,2024,7,233.312,0.06331519548951962,"Hong Kong SAR, China",High income,Craft and trades,0.4990366432526649,0.2561088600520232,0.2287187342530156,0.014209048947626068,1.0,0.06331519548951962,0.03159660262397614,0.016215582540791872,0.01448137137134517,0.0008996487118390976
HKG,2024,8,151.386,0.041082474044954465,"Hong Kong SAR, China",High income,Plant and machine operators,0.635211470653673,0.4053193598381853,0.2194343479246643,0.010457762890823369,1.0,0.041082474044954465,0.026096058756186875,0.016651522080469806,0.00901490590318653,0.000429630772530539
HKG,2024,9,663.533,0.18006669870708503,"Hong Kong SAR, China",High income,Elementary occupations,0.5994232872310814,0.37155566575818844,0.219131281935459,0.008736339537433954,1.0,0.18006669870708503,0.10793617245984963,0.06690480211899011,0.0394582465215696,0.0015731238192899144
