iso3,ilostat_year,country_name,income_level,matched_weight,employment_weighted_occ_exposed_share,employment_weighted_occ_sub_only_share,employment_weighted_occ_both_share,employment_weighted_occ_aug_only_share,transport_weighted_occ_exposed_share,transport_weighted_occ_sub_only_share,transport_weighted_occ_both_share,transport_weighted_occ_aug_only_share,employment_weighting_adjustment
GIN,2019,Guinea,Lower middle income,0.9897941938839787,0.08355182797508415,0.042789352585038305,0.034866684754687495,0.005895790635358327,0.1326085131391151,0.05608261271093946,0.06691293762068674,0.009612962807488875,-0.049056685164030944
GTM,2024,Guatemala,Upper middle income,1.0,0.36075532582638237,0.1531570599616564,0.17864547073433826,0.028952795130387707,0.4283015699773319,0.1305096129628075,0.23692385190160356,0.06086810511292083,-0.06754624415094951
HKG,2024,"Hong Kong SAR, China",High income,1.0,0.5931367340110726,0.2700570770485312,0.28609797494533723,0.03698168201720417,0.5589790949542439,0.20338342708420787,0.3039207455293426,0.05167492234069348,0.03415763905682867
HND,2025,Honduras,Lower middle income,0.9981471656051112,0.3512266461190089,0.15833725727886439,0.16579662272033913,0.027092766119805385,0.4102090504575602,0.12983796490638902,0.2302913273444715,0.05007975820669969,-0.058982404338551286
HRV,2024,Croatia,High income,0.9908438682567537,0.6089714318160723,0.2338242776006281,0.29046773149159594,0.08467942272384824,0.6087650071362606,0.1940223322978759,0.30614557971622863,0.10859709512215598,0.00020642467981168977
HUN,2024,Hungary,High income,0.9951586396594059,0.5537102321280398,0.24969194477605794,0.26852827208355534,0.03549001526842653,0.5383259172193771,0.19960540676685418,0.29216690454202,0.046553605910502886,0.015384314908662766
IDN,2023,Indonesia,Upper middle income,0.9961220947831108,0.43237245078781394,0.19409172882152875,0.215139568996503,0.023141152969782162,0.47457911751123044,0.1662118476846215,0.2735211385868424,0.03484613123976657,-0.0422066667234165
IND,2024,India,Lower middle income,1.0,0.44121118534872017,0.18475558247024298,0.22938541859786432,0.02707018428061287,0.5017210981445722,0.17647552682394424,0.2850726219461002,0.04017294937452774,-0.06050991279585205
IRL,2024,Ireland,High income,0.9979399029815056,0.5617418571161716,0.22084407563062827,0.29276496812845404,0.04813281335708946,0.5542355805557887,0.19977331878095875,0.30173788934598267,0.05272437242884728,0.007506276560382941
IRN,2024,"Iran, Islamic Rep.",Upper middle income,0.9999999999999999,0.4479673764944289,0.2160034365790962,0.21078725139573853,0.021176688519594148,0.4552094702375955,0.16833179413987068,0.25342120728738143,0.03345646881034337,-0.007242093743166589
IRQ,2021,Iraq,Upper middle income,0.947634113162885,0.29855677069727116,0.1333979855466684,0.1529418113173032,0.012216973833299536,0.3265468894299387,0.11951137603895559,0.19007639996641756,0.016959113424565526,-0.027990118732667546
ISR,2024,Israel,High income,1.0,0.5662091167670623,0.21679643329553006,0.3013192402995849,0.0480934431719474,0.5691196843121614,0.20830359766592502,0.30976869149070146,0.051047395155535025,-0.0029105675450991075
ITA,2024,Italy,High income,0.9902009270832046,0.5708139678117161,0.2596243022189823,0.2741515499757721,0.03703811561696166,0.5489463521114935,0.19729661657291578,0.29942909915204435,0.052220636386533445,0.021867615700222665
JOR,2023,Jordan,Lower middle income,0.9999999999999998,0.46242271038104266,0.1773037725778311,0.23392290789436032,0.05119602990885125,0.5285030643942573,0.15993619343464022,0.28129460162874653,0.08727226933087062,-0.06608035401321466
JPN,2022,Japan,High income,0.9999999999999999,0.640399874155083,0.3108523813642651,0.2955723169624721,0.03397517582834585,0.5994290751857604,0.21657361151924773,0.3289114646740271,0.05394399899248562,0.04097079896932265
KEN,2022,Kenya,Lower middle income,0.9999999999999999,0.33000287316806254,0.11960504311365106,0.19115439131005427,0.019243438744357206,0.3692804970195617,0.11816807992611872,0.22936781126689615,0.02174460582654689,-0.03927762385149919
KGZ,2023,Kyrgyz Republic,Lower middle income,1.0,0.3452786154933425,0.1464980052828372,0.1665048995662326,0.03227571064427265,0.39782553941734533,0.13731004953404413,0.20854672151792458,0.05196876836537654,-0.05254692392400284
KHM,2023,Cambodia,Lower middle income,0.9943719385135128,0.2709036080712252,0.11011161205147617,0.143585112199182,0.017206883820567034,0.3457308370413903,0.11199731340777433,0.19582738644950046,0.03790613718411552,-0.07482722897016508
KOR,2025,"Korea, Rep.",High income,1.0,0.6368182339110704,0.2927342322840074,0.3015834142242525,0.042500587402810514,0.6000503820639852,0.2211772608951213,0.32294903014526827,0.0559240910235956,0.0367678518470852
KWT,2016,Kuwait,High income,1.0,0.5740265138322251,0.27266739427504116,0.24817665625074367,0.053182463306440254,0.6011669884980271,0.19935353874569725,0.3021156913777181,0.09969775837461169,-0.02714047466580194
LAO,2022,Lao PDR,Lower middle income,0.9814721670719467,0.16590099705060807,0.06005733783465053,0.08376608340147856,0.022077575814478976,0.2316766014608345,0.09100831164469816,0.11791621190496178,0.02275207791117454,-0.06577560441022642
LKA,2023,Sri Lanka,Lower middle income,0.9961777826817503,0.3940712132574776,0.16616457628487358,0.19051771010054727,0.03738892687205675,0.4543279321635462,0.13731004953404413,0.24821593485013851,0.0688019477793636,-0.060256718906068596
MDG,2022,Madagascar,Low income,0.9981975306954982,0.10095231982388153,0.05104784932811304,0.04737721348892228,0.0025272570068462135,0.17076651834438755,0.07677776844933254,0.08785996138023673,0.006128788514818235,-0.06981419852050602
MEX,2024,Mexico,Upper middle income,0.9986958862398101,0.5119847505784918,0.24526525828362203,0.24349618323979083,0.02322330905507898,0.5192897023634607,0.18706183619495403,0.29104571596490486,0.04118215020360186,-0.007304951784968927
