iso3,country_name,income_level,internet_users_pct,log_gdp_per_capita,prep_internet,pizzinelli_mechanical,atlas_ai_mat_mean,atlas_pred_from_mech,residual
GRC,Greece,High income,86.2697,10.11156409179176,0.862697,0.5422951567268146,0.3806247476965203,0.3606832535479654,0.01994149414855495
GTM,Guatemala,Upper middle income,56.0535,8.724211541992647,0.560535,0.35235478467627107,0.25999326238829024,0.21986555692673737,0.040127705461552865
GIN,Guinea,Lower middle income,26.5014,7.435410738393404,0.265014,0.16658897465135505,0.0483889827190547,0.08214279058549684,-0.03375380786644214
HTI,Haiti,Lower middle income,39.262,7.669786200866235,0.39262,0.24680267166117645,0.07022874905045016,0.14161149609793194,-0.07138274704748178
HND,Honduras,Lower middle income,58.2789,8.139275592397405,0.582789,0.3663437476815887,0.2407384014786029,0.23023667248927937,0.010501728989323528
HKG,"Hong Kong SAR, China",High income,95.9778,10.89812157076718,0.959778,0.6033207034833188,0.41350980615162203,0.4059262781694778,0.007583527982144234
HUN,Hungary,High income,93.779,10.05587924574943,0.93779,0.5894989492566213,0.3826381550605917,0.3956791275902932,-0.013040972529701544
IND,India,Lower middle income,55.9,7.899056190521105,0.5589999999999999,0.35138987687483475,0.3700895708396595,0.21915019508668604,0.15093937575297345
IDN,Indonesia,Upper middle income,72.7808,8.502166958419496,0.727808,0.45750333364672585,0.3272364991111404,0.2978204240739057,0.0294160750372347
IRN,"Iran, Islamic Rep.",Upper middle income,79.6309,8.554521651974477,0.7963089999999999,0.5005633657680193,0.2613110114328698,0.329744203491075,-0.06843319205820525
IRQ,Iraq,Upper middle income,81.7291,8.711708488695377,0.817291,0.5137527439372283,0.16048720439273198,0.33952252409560707,-0.1790353197028751
IRL,Ireland,High income,96.4974,11.6342130479943,0.964974,0.6065869321062912,0.415261482403548,0.40834778964889573,0.006913692754652256
ISR,Israel,High income,88.1824,10.90000591846075,0.881824,0.5543184736766983,0.4387206037362308,0.3695970815053996,0.06912352223083118
ITA,Italy,High income,89.2207,10.60622216136962,0.892207,0.5608452734827651,0.41255343512162296,0.3744359101602874,0.03811752496133558
JPN,Japan,High income,86.9815,10.388597683244116,0.869815,0.5467695630659829,0.46642427306741346,0.3640004819372066,0.10242379113020689
JOR,Jordan,Lower middle income,92.5344,8.437737761674816,0.925344,0.5816753385096013,0.36122900538606023,0.38987887126372733,-0.028649865877667102
KAZ,Kazakhstan,Upper middle income,93.3917,9.557797234355384,0.933917,0.5870643642957336,0.32934501331581895,0.39387417879125824,-0.0645291654754393
KEN,Kenya,Lower middle income,34.9762,7.665019573607886,0.34976199999999996,0.21986194296153122,0.22485130396436248,0.12163822069668165,0.10321308326768083
KOR,"Korea, Rep.",High income,97.8956,10.497881229328883,0.978956,0.6153760792591785,0.4679157365151461,0.414863873849285,0.053051862665861094
KWT,Kuwait,High income,99.7473,10.39567206527631,0.9974729999999999,0.6270159475062111,0.4346902300558938,0.4234934212057867,0.011196808850107098
KGZ,Kyrgyz Republic,Lower middle income,88.4701,7.791599437223061,0.8847010000000001,0.5561269686244065,0.21088410720323955,0.37093786066750223,-0.16005375346426268
LAO,Lao PDR,Lower middle income,63.6255,7.661046539634993,0.636255,0.39995271218425404,0.0956080933707798,0.255153634144122,-0.1595455407733422
