iso3,country_name,n,pearson,spearman
COD,"Congo, Dem. Rep.",923,0.2935804057132388,0.26860082831961773
COL,Colombia,923,0.2912292023646146,0.3066782715746516
IDN,Indonesia,923,0.29068119067524384,0.30489628304512956
SVK,Slovak Republic,923,0.2880684876031214,0.30784209919161976
MDG,Madagascar,923,0.28569919681558836,0.27576462489577414
EGY,"Egypt, Arab Rep.",923,0.28507234951381233,0.3017187131583252
MAR,Morocco,923,0.26930264378049995,0.28315148240247523
UKR,Ukraine,923,0.26915510122877395,0.2867870868809624
ZAF,South Africa,923,0.2655632450884794,0.28213827123531954
MLI,Mali,923,0.2618962835295756,0.2565394987918154
MOZ,Mozambique,923,0.25593595140688896,0.24938994605710485
SDN,Sudan,923,0.25446745946752247,0.2416832179925022
NZL,New Zealand,923,0.2508688407451659,0.27227153779310964
ARG,Argentina,923,0.24875897422035234,0.26062047139912936
HKG,"Hong Kong SAR, China",923,0.24253685840962658,0.2613962053462393
GBR,United Kingdom,923,0.24222446260139646,0.26210963752321426
VNM,Viet Nam,923,0.2414676762186591,0.2596803524179026
MEX,Mexico,923,0.24059611641547263,0.26104953009736054
CHL,Chile,923,0.24002590934042645,0.25702215885882
ISR,Israel,923,0.23755428911293766,0.2550969546660936
USA,United States,923,0.2370272945950787,0.2503109373943402
TKM,Turkmenistan,923,0.23672568611602832,0.24808372367453155
CAN,Canada,923,0.23620736145093418,0.25191384878077866
QAT,Qatar,923,0.23527364907466136,0.24858854093483995
ROU,Romania,923,0.23386047523369735,0.24976659605084464
MMR,Myanmar,923,0.2318362741116155,0.23560767818658757
MYS,Malaysia,923,0.2317359249228232,0.24813931637510808
PRT,Portugal,923,0.22889667200634783,0.24846687068649928
VEN,"Venezuela, RB",923,0.227455810686704,0.22856514488517896
ARE,United Arab Emirates,923,0.22718543156657392,0.2446857280168546
UZB,Uzbekistan,923,0.22683838330708572,0.23806013517333974
GRC,Greece,923,0.22661050292385826,0.24744022683839012
TUR,Turkiye,923,0.22594002350783612,0.24287644969531114
THA,Thailand,923,0.22229415653649143,0.2454693499059816
BRA,Brazil,923,0.2210754672121225,0.23687844770423191
AUS,Australia,923,0.21945121553354974,0.23230026131752224
AGO,Angola,923,0.2194041821738852,0.22412987876407228
KAZ,Kazakhstan,923,0.21915322745140298,0.23696757051537062
IRL,Ireland,923,0.21720376839546995,0.23940243732656993
SAU,Saudi Arabia,923,0.21503285654796306,0.227447733358706
IRQ,Iraq,923,0.21199585239702,0.22284048018648026
ESP,Spain,923,0.21095728421063603,0.23040209993623764
DZA,Algeria,923,0.20897411902008045,0.22476212021498623
HUN,Hungary,923,0.20460283676645274,0.22474168974768563
AFG,Afghanistan,923,0.20227171816932404,0.17841091780451585
FRA,France,923,0.1999364821520179,0.21697621682779686
NER,Niger,923,0.1993635443359119,0.17313173140818774
CZE,Czechia,923,0.19836173177260075,0.21911156014455066
POL,Poland,923,0.19776540141341348,0.2174101360976855
IRN,"Iran, Islamic Rep.",923,0.19357546855579133,0.20871980459932873
ITA,Italy,923,0.1883369828619233,0.2100072302944238
RUS,Russian Federation,923,0.18452444230681248,0.20169627371935983
SGP,Singapore,923,0.16918645613193178,0.19222149792010146
YEM,"Yemen, Rep.",923,0.162132385894717,0.14266175319057314
NLD,Netherlands,923,0.16209470219121316,0.1793077012398627
KOR,"Korea, Rep.",923,0.15912332665875506,0.17730920680257786
BEL,Belgium,923,0.15595093231220958,0.17729851648295383
DNK,Denmark,923,0.15281075247842557,0.1758948900075251
NOR,Norway,923,0.15176913798968678,0.16948482184855254
AUT,Austria,923,0.1510558090194699,0.1756957055804158
FIN,Finland,923,0.14750120831898267,0.16607118148792518
SWE,Sweden,923,0.14131902440676106,0.16047252849169677
SYR,Syrian Arab Republic,923,0.13810402046304687,0.11979280942834043
DEU,Germany,923,0.13208789320236974,0.1512843843018132
CHE,Switzerland,923,0.13119736580860522,0.15118279638793558
CHN,China,923,0.12748291523600916,0.14712725180952127
JPN,Japan,923,0.07594944650224514,0.09986512214109686
