onet_soc_code,Low income,Lower middle income,Upper middle income,High income,occupation_title,external_score,external_source,atlas_feature
11-2033.00,0.20723684210526316,0.2892857142857143,0.3263888888888889,0.3673780487804878,Fundraising Managers,1.0,Eloundou DV gamma,llm_like_share
11-3031.03,0.1763157894736842,0.4085714285714286,0.4944444444444444,0.5560975609756098,Investment Fund Managers,1.0,Eloundou DV gamma,llm_like_share
11-9121.00,0.10855263157894737,0.2,0.28703703703703703,0.37652439024390244,Natural Sciences Managers,1.0,Eloundou DV gamma,llm_like_share
11-9199.01,0.10331384015594541,0.346031746031746,0.45267489711934156,0.5718157181571816,Regulatory Affairs Managers,1.0,Eloundou DV gamma,llm_like_share
11-9199.10,0.1824561403508772,0.31238095238095237,0.35555555555555557,0.3886178861788618,Wind Energy Development Managers,1.0,Eloundou DV gamma,llm_like_share
13-1021.00,0.07017543859649122,0.1761904761904762,0.22530864197530864,0.23983739837398377,"Buyers and Purchasing Agents, Farm Products",1.0,Eloundou DV gamma,llm_like_share
13-1032.00,0.11278195488721804,0.3183673469387755,0.4708994708994709,0.4982578397212543,"Insurance Appraisers, Auto Damage",1.0,Eloundou DV gamma,llm_like_share
13-1041.08,0.11670480549199085,0.22732919254658385,0.26247987117552335,0.28525980911983034,Customs Brokers,1.0,Eloundou DV gamma,llm_like_share
13-1051.00,0.09774436090225563,0.2693877551020408,0.30687830687830686,0.30139372822299654,Cost Estimators,1.0,Eloundou DV gamma,llm_like_share
13-1081.01,0.15087719298245614,0.34,0.4074074074074074,0.4113821138211382,Logistics Engineers,1.0,Eloundou DV gamma,llm_like_share
13-1081.02,0.1494057724957555,0.2506912442396313,0.24731182795698925,0.24547600314712825,Logistics Analysts,1.0,Eloundou DV gamma,llm_like_share
13-1082.00,0.1631578947368421,0.21142857142857144,0.24814814814814815,0.27195121951219514,Project Management Specialists,1.0,Eloundou DV gamma,llm_like_share
13-1151.00,0.1868421052631579,0.37,0.4962962962962963,0.5536585365853658,Training and Development Specialists,1.0,Eloundou DV gamma,llm_like_share
13-1161.00,0.4979757085020243,0.7010989010989012,0.7378917378917379,0.7689180737961225,Market Research Analysts and Marketing Specialists,1.0,Eloundou DV gamma,llm_like_share
13-1161.01,0.3464912280701754,0.4912698412698413,0.5648148148148148,0.5819783197831978,Search Marketing Strategists,1.0,Eloundou DV gamma,llm_like_share
47-2071.00,0.4842105263157894,0.6157142857142858,0.75,0.8253530166880616,"Paving, Surfacing, and Tamping Equipment Operators",99.99999999999999,Webb Robot,physical_share
47-2072.00,0.431578947368421,0.7314285714285714,0.8444444444444444,0.9024390243902439,Pile Driver Operators,99.99999999999999,Webb Robot,physical_share
47-2073.00,0.3502024291497976,0.47912087912087914,0.586894586894587,0.6350844277673546,Operating Engineers and Other Construction Equipment Operators,99.99999999999999,Webb Robot,physical_share
37-2011.00,0.15037593984962405,0.2748299319727891,0.455026455026455,0.6167247386759581,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",98.0,Webb Robot,physical_share
47-4021.00,0.12894736842105264,0.3028571428571428,0.4666666666666667,0.5975609756097561,Elevator and Escalator Installers and Repairers,98.0,Webb Robot,physical_share
37-2012.00,0.12631578947368421,0.26571428571428574,0.5,0.7109756097560975,Maids and Housekeeping Cleaners,97.25,Webb Robot,physical_share
53-4011.00,0.07518796992481203,0.20816326530612245,0.291005291005291,0.31881533101045295,Locomotive Engineers,96.99999999999999,Webb Robot,physical_share
53-4013.00,0.16018306636155605,0.36894409937888195,0.4798711755233494,0.5493107104984093,"Rail Yard Engineers, Dinkey Operators, and Hostlers",96.99999999999999,Webb Robot,physical_share
53-4041.00,0.10526315789473684,0.1742857142857143,0.21481481481481482,0.23658536585365852,Subway and Streetcar Operators,96.99999999999999,Webb Robot,physical_share
53-7064.00,0.37280701754385964,0.6333333333333334,0.8024691358024691,0.8800813008130082,"Packers and Packagers, Hand",96.93333333333334,Webb Robot,physical_share
37-2021.00,0.145748987854251,0.232967032967033,0.3475783475783476,0.4333958724202627,Pest Control Workers,96.0,Webb Robot,physical_share
47-2221.00,0.18559556786703602,0.3684210526315789,0.5925925925925926,0.7201540436456997,Structural Iron and Steel Workers,96.0,Webb Robot,physical_share
47-3011.00,0.17192982456140352,0.31238095238095237,0.47901234567901235,0.6455284552845528,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",96.0,Webb Robot,physical_share
47-3012.00,0.2777777777777778,0.5349206349206349,0.7716049382716049,0.9105691056910568,Helpers--Carpenters,96.0,Webb Robot,physical_share
47-3013.00,0.26105263157894737,0.5142857142857142,0.7362962962962962,0.8253658536585367,Helpers--Electricians,96.0,Webb Robot,physical_share
