iso3,pizzinelli_employment_weighted,coverage,n_isco_covered,ilostat_year,atlas_ai_mat_mean,country_name,income_level,atlas_pred_from_mech,residual
ETH,-0.6499252250244114,0.9980874663388606,9.0,2021.0,0.09304676278129488,Ethiopia,Not classified,0.1379234617443344,-0.044876698963039516
FIN,-0.03793177816097946,0.9963383857423622,9.0,2024.0,0.43714422514230994,Finland,High income,0.4179911205282907,0.019153104614019256
GBR,0.13386274969668,0.9991140851079722,9.0,2025.0,0.4431026227589509,United Kingdom,High income,0.4966097584493053,-0.053507135690354424
GHA,-0.4997829476021219,0.9987046814277742,9.0,2024.0,0.14890674043730381,Ghana,Lower middle income,0.2066333414622711,-0.057726601024967295
GIN,-0.500919080852246,0.9897941938839786,9.0,2019.0,0.049422780230887906,Guinea,Lower middle income,0.20611341076520293,-0.15669063053431503
GTM,-0.5914175984091855,0.9999999999999999,9.0,2024.0,0.2644038942384423,Guatemala,Upper middle income,0.1646984118538718,0.0997054823845705
HKG,-0.08547857184175439,1.0,8.0,2024.0,0.4154386338245465,"Hong Kong SAR, China",High income,0.396232196054333,0.01920643777021347
HND,-0.5847322428958722,0.9981471656051112,9.0,2025.0,0.2425387029845188,Honduras,Lower middle income,0.16775784308854952,0.07478085989596928
HRV,-0.07101125431020414,0.9908438682567537,9.0,2024.0,0.4525190189923924,Croatia,High income,0.40285290052545386,0.049666118466938525
HUN,-0.14269093005097144,0.9951586396594059,9.0,2024.0,0.38612544554982176,Hungary,High income,0.37005000194868254,0.016075443601139217
IDN,-0.5263624178082017,0.9961220947831108,9.0,2023.0,0.32939611598829477,Indonesia,Upper middle income,0.19446973083786542,0.13492638515042935
IND,-0.5635867983297527,1.0,9.0,2024.0,0.37351705059317974,India,Lower middle income,0.17743467081265518,0.19608237978052456
IRL,0.07148641432653603,0.9979399029815056,9.0,2024.0,0.41660903335638666,Ireland,High income,0.46806436421318454,-0.051455330856797876
IRN,-0.45802239909631176,0.9999999999999999,9.0,2024.0,0.26206309517476195,"Iran, Islamic Rep.",Upper middle income,0.2257442961783696,0.03631879899639234
IRQ,-0.3890991518184263,0.947634113162885,9.0,2021.0,0.16210033515986594,Iraq,Upper middle income,0.25728576545363235,-0.09518543029376642
ISR,0.11455310199795302,1.0,9.0,2024.0,0.4394552032347308,Israel,High income,0.487773049738383,-0.04831784650365217
ITA,-0.13132886690658332,0.9902009270832045,9.0,2024.0,0.4140022343991062,Italy,High income,0.3752496432848983,0.038752591114207924
JOR,-0.3491001970518483,0.9999999999999999,9.0,2023.0,0.3654838538064585,Jordan,Lower middle income,0.2755905588671813,0.08989329493927717
JPN,-0.12836940061214755,0.9999999999999999,8.0,2022.0,0.4650989572249415,Japan,High income,0.3766039891534377,0.08849496807150381
KEN,-0.5418386179890516,0.9999999999999999,9.0,2022.0,0.22551470979411609,Kenya,Lower middle income,0.18738732959037346,0.03812738020374262
KGZ,-0.4447394821687759,0.9999999999999998,9.0,2023.0,0.21285311485875405,Kyrgyz Republic,Lower middle income,0.23182298127668718,-0.018969866417933134
KHM,-0.6004774639863528,0.9943719385135127,9.0,2023.0,0.1906155237537905,Cambodia,Lower middle income,0.16055232931965663,0.030063194434133883
KOR,-0.08574480102672732,1.0,9.0,2025.0,0.46812812599765885,"Korea, Rep.",High income,0.3961103611148946,0.07201776488276423
KWT,-0.5323427874286095,1.0,9.0,2016.0,0.4392190243123903,Kuwait,High income,0.19173292356184884,0.24748610075054145
LAO,-0.5274224198896622,0.9814721670719467,9.0,2022.0,0.09735596105761558,Lao PDR,Lower middle income,0.19398464018406467,-0.09662867912644908
LKA,-0.521470277526327,0.9961777826817504,9.0,2023.0,0.29339788264084693,Sri Lanka,Lower middle income,0.19670852976979758,0.09668935287104935
MDG,-0.6767289490816196,0.9981975306954982,9.0,2022.0,0.0712879714848114,Madagascar,Low income,0.12565722542780622,-0.054369253942994814
MEX,-0.4223774362085086,0.9986958862398101,9.0,2024.0,0.370025537348372,Mexico,Upper middle income,0.24205656447894142,0.1279689728694306
MLI,-0.5080801407217926,0.9956390388297548,9.0,2024.0,0.04809278076288769,Mali,Low income,0.20283628209273982,-0.15474350132985212
MMR,-0.608179811795606,0.9996080311811624,9.0,2020.0,0.10980475607809757,Myanmar,Lower middle income,0.15702749007647004,-0.04722273399837247
MOZ,-0.551034445249559,0.9987408424626766,9.0,2022.0,0.08022556790977284,Mozambique,Low income,0.18317902666714508,-0.10295345875737225
MWI,-0.4502234302375721,0.9962105162076355,9.0,2024.0,0.07458637016545193,Malawi,Low income,0.2293133522857361,-0.15472698212028418
NER,-0.5525446250447726,0.9989047511590096,9.0,2022.0,0.030483587806564877,Niger,Low income,0.18248792037874279,-0.1520043325721779
NLD,0.1186648736227465,0.9972821844657769,9.0,2024.0,0.4496701425835284,Netherlands,High income,0.4896547271620747,-0.03998458457854631
NOR,0.08095400063538366,0.9970254890607481,9.0,2024.0,0.43661222535510985,Norway,High income,0.4723970327171427,-0.03578480736203282
