support,domain,iso3,country_name,income_level,margin,total_gap_pp,reference_profile_pp,country_specific_pp,identity_error_pp
Figure 5 sex-specific support,Industry (ISIC-2),IND,India,Lower middle income,Overall exposure,-0.8586437559914042,1.0048905033507496,-1.8635342593421536,-2.220446049250313e-16
Figure 5 sex-specific support,Industry (ISIC-2),IND,India,Lower middle income,Substitution-only,0.8830930258205071,0.810276057659943,0.07281696816056388,1.6653345369377348e-16
Figure 5 sex-specific support,Industry (ISIC-2),IRL,Ireland,High income,Augmentation-only,-0.8989304190684573,-0.8038831613243187,-0.09504725774413912,5.412337245047638e-16
Figure 5 sex-specific support,Industry (ISIC-2),IRL,Ireland,High income,Overall exposure,-5.699144482732384,-4.008257798511741,-1.6908866842206405,-3.1086244689504383e-15
Figure 5 sex-specific support,Industry (ISIC-2),IRL,Ireland,High income,Substitution-only,-3.4319851546402598,-2.3310806518093625,-1.100904502830899,1.7763568394002505e-15
Figure 5 sex-specific support,Industry (ISIC-2),IRN,"Iran, Islamic Rep.",Upper middle income,Augmentation-only,0.1385140222683321,-0.578461860882829,0.7169758831511609,2.220446049250313e-16
Figure 5 sex-specific support,Industry (ISIC-2),IRN,"Iran, Islamic Rep.",Upper middle income,Overall exposure,0.385474233690266,0.35974893712540396,0.025725296564861756,2.983724378680108e-16
Figure 5 sex-specific support,Industry (ISIC-2),IRN,"Iran, Islamic Rep.",Upper middle income,Substitution-only,0.4816691541051927,0.20087341486774402,0.280795739237448,6.661338147750939e-16
Figure 5 sex-specific support,Industry (ISIC-2),ISR,Israel,High income,Augmentation-only,0.029745795913833025,-0.7250440049235856,0.7547898008374183,2.220446049250313e-16
Figure 5 sex-specific support,Industry (ISIC-2),ISR,Israel,High income,Overall exposure,-5.220881965259533,-5.172026611701533,-0.048855353558011495,1.119243586700236e-14
Figure 5 sex-specific support,Industry (ISIC-2),ISR,Israel,High income,Substitution-only,-4.106813315257218,-3.504517589113553,-0.6022957261436653,-1.1102230246251565e-16
Figure 5 sex-specific support,Industry (ISIC-2),ITA,Italy,High income,Augmentation-only,-0.7686648011465544,-0.6405196054728904,-0.1281451956736633,-6.938893903907228e-16
Figure 5 sex-specific support,Industry (ISIC-2),ITA,Italy,High income,Overall exposure,-3.924980793732767,-2.4097657491152127,-1.5152150446175496,-4.884981308350689e-15
Figure 5 sex-specific support,Industry (ISIC-2),ITA,Italy,High income,Substitution-only,-3.024624316166136,-2.2170318428207385,-0.8075924733453982,5.551115123125783e-16
Figure 5 sex-specific support,Industry (ISIC-2),JOR,Jordan,Lower middle income,Augmentation-only,-0.5394393597867545,-0.39869589934539745,-0.14074346044135636,-6.938893903907228e-16
Figure 5 sex-specific support,Industry (ISIC-2),JOR,Jordan,Lower middle income,Overall exposure,-2.934067778362178,-3.670929125277668,0.7368613469154893,5.551115123125783e-16
Figure 5 sex-specific support,Industry (ISIC-2),JOR,Jordan,Lower middle income,Substitution-only,-3.386635266146128,-3.8051917171851404,0.41855645103901157,9.43689570931383e-16
Figure 5 sex-specific support,Industry (ISIC-2),JPN,Japan,High income,Augmentation-only,-1.0291335977115499,-0.603152207778016,-0.4259813899335343,4.440892098500626e-16
Figure 5 sex-specific support,Industry (ISIC-2),JPN,Japan,High income,Overall exposure,-6.577737605586869,-4.993498805215878,-1.5842388003709849,-5.995204332975845e-15
Figure 5 sex-specific support,Industry (ISIC-2),JPN,Japan,High income,Substitution-only,-3.1006436894296114,-2.5024340395766904,-0.5982096498529204,-6.661338147750939e-16
Figure 5 sex-specific support,Industry (ISIC-2),KEN,Kenya,Lower middle income,Augmentation-only,0.6941389705385793,-0.6886649905963342,1.3828039611349145,-1.1102230246251565e-15
Figure 5 sex-specific support,Industry (ISIC-2),KEN,Kenya,Lower middle income,Overall exposure,3.847687948452189,1.3512785815325288,2.4964093669196608,-8.881784197001252e-16
