support,domain,income_level,margin,countries,mean_total_gap_pp,mean_reference_profile_pp,mean_country_specific_pp,median_total_gap_pp,median_reference_profile_pp,median_country_specific_pp,share_reference_same_sign_as_total,share_country_specific_offsets_reference,total_ci_low,reference_profile_ci_low,country_specific_ci_low,total_ci_high,reference_profile_ci_high,country_specific_ci_high,additive_mean_error_pp
Figure 5 sex-specific support,Occupation (ISCO-2),Low income,Overall exposure,14,1.384098334059897,2.097955592714471,-0.713857258654574,1.335014274499604,2.0941474793233628,-0.9066759156856734,0.9285714285714286,0.7857142857142857,0.5236769417259814,1.026629535115052,-1.0556406243696976,2.2024065829504664,3.1703932277165783,-0.3540238572689213,-2.220446049250313e-16
Figure 5 sex-specific support,Occupation (ISCO-2),Low income,Substitution-only,14,1.06693950762439,1.7565597944891347,-0.6896202868647443,1.1194113990213315,1.7530013399628401,-0.842830848819861,0.9285714285714286,0.7857142857142857,0.3458549388516683,0.649828036084551,-1.1355859989418895,1.808315328850593,2.908939807783938,-0.22101921879383205,-4.440892098500626e-16
Figure 5 sex-specific support,Occupation (ISCO-2),Lower middle income,Augmentation-only,26,0.07277430391773887,0.018148318418631914,0.054625985499106945,-0.024480377248613537,-0.07748737668636901,0.0630386550075208,0.8846153846153846,0.6153846153846154,-0.10790764056101364,-0.17557706194700762,-0.10864590555074123,0.2938035526675721,0.24357869558688752,0.2031671840951159,6.938893903907228e-18
Figure 5 sex-specific support,Occupation (ISCO-2),Lower middle income,Overall exposure,26,2.9221983130300067,2.5925784833955894,0.3296198296344184,3.775263421473979,2.8704053189757532,0.32285799239379903,0.9615384615384616,0.23076923076923078,1.6521640713536825,1.5711987864225097,-0.1544634326811579,4.156705962585468,3.5392537022568122,0.8209926590187865,-1.1102230246251565e-15
Figure 5 sex-specific support,Occupation (ISCO-2),Lower middle income,Substitution-only,26,1.7015420822311296,1.9898122122936133,-0.28827013006248386,2.204029855046783,3.1283687188172777,-0.2488116359498214,0.9615384615384616,0.6153846153846154,0.5554489813593284,0.7235740916426234,-0.6347408182254562,2.6980007900733103,3.0765781264394536,0.04876192003938953,1.6653345369377348e-16
Figure 5 sex-specific support,Occupation (ISCO-2),Upper middle income,Augmentation-only,16,-0.007201736629508661,0.1216284281178873,-0.12883016474739595,-0.041265924839758536,-0.089206360394926,0.013624284901042363,0.875,0.625,-0.18613470217244849,-0.1415208739398525,-0.4074537706741685,0.21572802231310176,0.46156674374341977,0.07763852791249222,0
Figure 5 sex-specific support,Occupation (ISCO-2),Upper middle income,Overall exposure,16,2.5325700821181854,2.4156703084810434,0.11689977363714124,2.1111567529530433,2.1541372398857845,-0.009635067475718464,0.9375,0.4375,1.4148206610015206,1.6540287926434198,-0.3493462317637499,3.673604233983471,3.1516931553484135,0.6503550686878858,7.494005416219807e-16
Figure 5 sex-specific support,Occupation (ISCO-2),Upper middle income,Substitution-only,16,1.853800697796419,1.823775078814281,0.030025618982138312,2.086815561516749,2.1694530871029833,0.052537144999125665,1,0.3125,0.6233926123656549,0.6106923325978101,-0.24443496688771554,3.0620344621834943,2.9394935970452694,0.31829344033885926,-3.5388358909926865e-16
Figure 5 sex-specific support,Occupation (ISCO-2),High income,Augmentation-only,32,-0.1539200782404529,-0.1878414381475735,0.03392135990712061,-0.1475549395057698,-0.15968798442633003,0.02039232797719711,0.8125,0.5625,-0.2672405186464242,-0.2671213116346296,-0.03224223946732299,-0.028559348338919294,-0.10893675686131396,0.11005781561174702,0
Figure 5 sex-specific support,Occupation (ISCO-2),High income,Overall exposure,32,-0.010702410559441312,1.3859035129963242,-1.3966059235557648,0.3815300454191882,1.35680591388701,-1.435556917068793,0.78125,0.6875,-0.8483046239897267,0.6964075100577369,-1.6966102749196428,0.8399992898911061,2.0582649031451643,-1.079543903441743,-6.661338147750939e-16
Figure 5 sex-specific support,Occupation (ISCO-2),High income,Substitution-only,32,2.080014451001684,2.1163095005791965,-0.03629504957751331,2.238471129250292,2.189613784293184,-0.0015955188357160265,0.875,0.4375,1.452106916482315,1.6454580904330691,-0.26448861938705304,2.669820247281557,2.5447584334254336,0.19141753317104862,5.828670879282072e-16
Figure 5 sex-specific support,Industry (ISIC-2),Low income,Augmentation-only,4,-0.34386044586624726,-0.8188330862610442,0.47497264039479675,-0.14954831722011203,-0.6924065907246539,0.5136029116521881,0.75,1,-0.9092883413874161,-1.4287301749262187,0.3626178141410462,0.007068002335831724,-0.40371663564367277,0.548697195391156,2.220446049250313e-16
Figure 5 sex-specific support,Industry (ISIC-2),Low income,Overall exposure,4,0.8389570995742464,2.105211374008042,-1.2662542744337952,0.3889948656101366,1.2809029677134904,-1.5923103485795091,0.5,0.75,-0.48938581236439127,0.7873368282296569,-2.021633839660654,2.290604653077146,4.178589687837436,-0.3511902824170685,-4.440892098500626e-16
Figure 5 sex-specific support,Industry (ISIC-2),Low income,Substitution-only,4,1.0494097210107123,2.767378586254355,-1.7179688652436416,0.5984172706081083,1.713204949527328,-1.6551083212444917,0.5,1,-0.37211990528341815,0.9983994453557199,-2.8903279927787695,2.7072071732992042,5.590531363880018,-0.545609737708514,-1.3322676295501878e-15
Figure 5 sex-specific support,Industry (ISIC-2),Lower middle income,Augmentation-only,21,-0.4361251599020303,-0.7506950038286352,0.3145698439266051,-0.5394393597867545,-0.7993866773943215,0.2895232886258563,0.8571428571428571,0.7142857142857143,-0.7420390128180512,-0.905495254153576,0.06578256167294803,-0.13169813319598803,-0.5787642475368706,0.5569300715141504,-2.220446049250313e-16
Figure 5 sex-specific support,Industry (ISIC-2),Lower middle income,Overall exposure,21,1.952766398643442,1.4798905878426263,0.4728758108008161,1.8512941949681234,1.3512785815325288,0.43855004947473947,0.8095238095238095,0.47619047619047616,0.5193670192060806,0.5375845299461511,-0.4052349803928753,3.3282841679362556,2.3739069908186785,1.363086551562749,-3.3306690738754696e-16
Figure 5 sex-specific support,Industry (ISIC-2),Lower middle income,Substitution-only,21,1.5868853303696,1.7225495231445807,-0.13566419277498062,1.6529398606383543,2.3702492697397246,-0.30679703214357734,1,0.6666666666666666,0.5207675346271744,0.505067450644887,-0.5455421825675132,2.606829247650412,2.811216450109129,0.28610895524556756,-2.7755575615628914e-17
