iso3,country_name,income_level,AI_PI,DI,HCLMP,IEI,RE,ai_material_share,llm_like_share,mean_exposure,aipi_predicted_atlas,residual
ISR,Israel,High income,0.72547018527985,0.17334572970867,0.17238955199718,0.1909364014864,0.18879850208759,0.4394552032347308,0.2566503511385401,1.5410193658225155,0.4823025046966319,-0.04284730146190108
ITA,Italy,High income,0.62072303891182,0.16825936734676,0.1347493827343,0.16274155676365,0.15497273206711,0.4140022343991062,0.2516890993243603,1.4952918018832793,0.3973434248763806,0.016658809522725637
JOR,Jordan,Lower middle income,0.48283123970032,0.093006357550621,0.13241711258888,0.13104628026485,0.12636148929596,0.3654838538064585,0.2518486992605203,1.3024950790019685,0.2855011381700051,0.07998271563645337
JPN,Japan,High income,0.73315840959549,0.17688120901585,0.17074917256832,0.18212588131428,0.20340214669704,0.4650989572249415,0.2550542668652905,1.5974143434773356,0.48853832577583794,-0.023439368550896456
KAZ,Kazakhstan,Upper middle income,0.55238711833954,0.15259651839733,0.15728041529655,0.10878692567348,0.13372325897217,0.3307974676810129,0.22774910890035643,1.3643666542533384,0.34191702776870087,-0.01111956008768794
KEN,Kenya,Lower middle income,0.4451921209693,0.097114026546478,0.11268864572048,0.10582538694143,0.1295640617609,0.22551470979411609,0.19832952066819173,1.0554875778049688,0.2549725270955115,-0.029457817301395406
KGZ,Kyrgyz Republic,Lower middle income,0.42584180086851,0.10636062175035,0.1240059286356,0.099357306957245,0.096117943525314,0.21285311485875405,0.19832952066819173,1.050539979784008,0.23927772826811172,-0.026424613409357672
KHM,Cambodia,Lower middle income,0.36996492743492,0.080967277288437,0.094286002218723,0.11407965421677,0.080631993710995,0.1906155237537905,0.17311273075490768,0.9266904293238283,0.19395670602784032,-0.0033411822740498087
KOR,"Korea, Rep.",High income,0.72657443583012,0.1810295432806,0.16438841819763,0.18252864480019,0.1986278295517,0.46812812599765885,0.257741832499734,1.6071618601681388,0.4831981482907048,-0.015070022293045937
KWT,Kuwait,High income,0.46133247762918,0.11507316678762,0.11470254510641,0.1144158244133,0.11714094132185,0.4392190243123903,0.2681278927488429,1.474863010054796,0.26806376535202786,0.17115525896036243
LAO,Lao PDR,Lower middle income,0.33049231767654,0.059090651571751,0.10508282482624,0.089348345994949,0.076970495283604,0.09735596105761558,0.1306059477576209,0.7266053093578763,0.1619409736718191,-0.0645850126142035
LBY,Libya,Upper middle income,0.24497598037124,0.057738859206438,0.10832929611206,0.051114644855261,0.027793180197477,0.16630313347874662,0.15896153641538543,0.8924828430068628,0.09257975879414108,0.07372337468460553
LKA,Sri Lanka,Lower middle income,0.4360671415925,0.113659709692,0.12667578458786,0.088010668754578,0.10772097855806,0.29339788264084693,0.22397191041123585,1.1544395382241848,0.24757137223724118,0.04582651040360575
MAR,Morocco,Lower middle income,0.42911085486412,0.097611799836159,0.12012998759747,0.11220340430737,0.099165663123131,0.2832898866840453,0.21444911422035431,1.219130712347715,0.24192921643728738,0.041360670246757936
MDG,Madagascar,Low income,0.30544988438487,0.049605626612902,0.094289295375347,0.074020609259605,0.087534353137016,0.0712879714848114,0.10150555939777624,0.5774325690269724,0.14162937414198523,-0.07034140265717383
MEX,Mexico,Upper middle income,0.53204418718815,0.12697783112526,0.13643628358841,0.13138498365879,0.13724508881569,0.370025537348372,0.24191317301553522,1.416631198127261,0.32541713472725836,0.04460840262111365
MLI,Mali,Low income,0.29614645242691,0.05957418680191,0.079833596944809,0.07989452034235,0.076844148337841,0.04809278076288769,0.08352396659041336,0.5009841996063201,0.13408347866201215,-0.08599069789912445
MMR,Myanmar,Lower middle income,0.32747298851609,0.071026295423508,0.11759293824434,0.087094478309155,0.051759276539087,0.10980475607809757,0.1268819492472203,0.7631004947598021,0.159492034144197,-0.04968727806609942
MOZ,Mozambique,Low income,0.25736496224999,0.045734252780676,0.07044755667448,0.073632478713989,0.067550674080849,0.08022556790977284,0.11150715539713785,0.656221737511305,0.10262830461924836,-0.022402736709475526
MWI,Malawi,Low income,0.34004744514823,0.04731697961688,0.097354143857956,0.099846519529819,0.095529802143574,0.07458637016545193,0.11219875512049796,0.5667925732829707,0.16969101618570043,-0.0951046460202485
MYS,Malaysia,Upper middle income,0.63202629983425,0.14961506426334,0.1687413752079,0.14003576338291,0.17363409698009,0.3757514496994201,0.2444539022184391,1.43772942490823,0.40651135622568707,-0.030759906526266978
NER,Niger,Low income,0.32582614198327,0.039853490889072,0.062453556805849,0.13450223207474,0.089016862213612,0.030483587806564877,0.058519976592009366,0.39048784380486246,0.15815629784125307,-0.1276727100346882
NGA,Nigeria,Lower middle income,0.33628468960524,0.079609505832195,0.093732133507729,0.091155245900154,0.071787804365158,0.19104112358355058,0.17678352928658828,0.963026014789594,0.16663909296291607,0.024402030620634507
NIC,Nicaragua,Lower middle income,0.33139400184155,0.069994516670704,0.091381162405014,0.10762486606836,0.062393456697464,0.18300792679682928,0.1806139277544289,0.9574932170027132,0.16267231824400036,0.020335608552828927
