spec,outcome,variable,mean_abs_shap,mean_abs_shap_sd,mean_shap,median_shap,median_ale_delta,ale_delta_sd,positive_ale_share,negative_ale_share,mean_abs_shap_ci,direction_flag,mean_abs_shap_share
main68,substitution_share,gross_fixed_capital_formation_pct_gdp,0.00033145675639130006,3.3373713612990653e-05,-1.6842009727883184e-05,-0.00016056510838610423,0.0014289560649081755,0.00015232873723749574,1.0,0.0,6.541247868146167e-05,positive,0.00813730013266245
main68,substitution_share,internet_users_pct,0.009474214755107185,0.0002245093579449021,0.0003238356790706282,0.006797359439847672,0.028445542323818088,0.0003896474253490166,1.0,0.0,0.0004400383415720081,positive,0.23259302306269047
main68,substitution_share,log_gdp_per_capita,0.012328966160495818,0.0005379543584794649,-3.478058700420984e-05,0.009205215535668174,0.04189191238029374,0.0007524227803486168,1.0,0.0,0.001054390542619751,positive,0.30267748669740724
main68,substitution_share,pwt_human_capital_index,0.0033699501587614727,0.00018655368870422196,0.0003240516087896259,0.0017549465451286873,0.01846520517222297,0.0006409743293027292,1.0,0.0,0.000365645229860275,positive,0.08273265017286986
main68,substitution_share,pwt_log_real_capital_stock_per_worker,0.0008323971979374122,6.218301424059243e-05,-0.000153114439596374,-0.0005198522239998945,-0.0031581474011580586,0.00024015026883524281,0.0,1.0,0.00012187870791156116,negative,0.020435443534020364
main68,substitution_share,wgi_government_effectiveness_score,0.004714766835419206,0.000358161848809553,-0.0006152161676139184,-0.0022021987291981093,0.016535936756934565,0.0009230973148289527,1.0,0.0,0.0007019972236667238,positive,0.11574804874406301
main68,substitution_share,wgi_regulatory_quality_score,0.0037832757927314027,0.00026206732612106374,-0.00027165999930603565,0.0008144537834188163,0.012459512154604483,0.0005314623195994461,1.0,0.0,0.0005136519591972849,positive,0.09287984033050752
main68,both_share,barro_lee_years_schooling_15_64,0.005280601470312016,0.000650890076879466,-0.0001099126175764538,0.003051166193120811,0.015583209061680306,0.001755017079961121,1.0,0.0,0.0012757445506837533,positive,0.10780648023368346
main68,both_share,goods_trade_openness,0.0005409386764222825,8.867704657546362e-05,0.00010920411827202124,0.00036422501289404887,0.002132614594172534,0.0005692029443244469,1.0,0.0,0.0001738070112879087,positive,0.011043570520368756
main68,both_share,gross_fixed_capital_formation_pct_gdp,0.00014186440475388314,3.149180757225686e-05,-4.4788262297251836e-05,-5.77026294032799e-05,-0.0003295218249780331,0.00018692010324371897,0.2,0.8,6.172394284162345e-05,negative,0.0028962424513469484
main68,both_share,internet_users_pct,0.010436149506103765,0.0005062907880613999,0.0001325849355481513,0.007617410742503853,0.0340672144732602,0.0020356489363255164,1.0,0.0,0.0009923299446003438,positive,0.21305992352781414
main68,both_share,log_gdp_per_capita,0.015077162402197225,0.0006111381412140373,0.0002036325216631352,0.010407876175234712,0.06033567802576404,0.0019948507877986443,1.0,0.0,0.0011978307567795132,positive,0.30780883951018356
main68,both_share,pwt_human_capital_index,0.004663900631878119,0.0002187323948431892,0.00039748434609670065,0.0026487748192510012,0.023875962567417044,0.0008369255038227673,1.0,0.0,0.0004287154938926508,positive,0.09521618211660332
main68,both_share,pwt_log_real_capital_stock_per_worker,0.0004306614735999287,5.976147385985704e-05,-0.00010427887562570718,-0.0002359459516124776,-0.0017137705928131223,0.0002177192916318364,0.0,1.0,0.00011713248876531979,negative,0.008792198748964935
main68,both_share,wgi_government_effectiveness_score,0.006909739271393487,0.0006433085426330017,-0.000264277747767283,0.002125336237281806,0.027844724127259357,0.001988647668500889,1.0,0.0,0.0012608847435606832,positive,0.14106625435934922
main68,both_share,wgi_regulatory_quality_score,0.005501209009681739,0.0002725587105122895,-0.0004147989294639847,0.0016835579165580185,0.019565012275664352,0.0008393064075597669,1.0,0.0,0.0005342150726040874,positive,0.11231030853168572
