spec,outcome,variable,permutation_importance_mean,permutation_importance_sd,baseline_r2_mean,baseline_r2_sd,permutation_importance_ci,permutation_importance_share_positive,median_ale_delta,ale_delta_sd,positive_ale_share,negative_ale_share,direction_flag
main68,substitution_within_exposed,wgi_regulatory_quality_score,0.14895247611257403,0.029243612649705514,0.5631238488100059,0.0,0.057317480793422804,0.2280271763088024,-0.013553708498433454,0.0011137239146631164,0.0,1.0,negative
main68,substitution_within_exposed,internet_users_pct,0.09590183817826549,0.014869950618425524,0.5631238488100059,0.0,0.029145103212114026,0.1468134396509542,-0.002099269941415585,0.0012204091580112792,0.0,1.0,negative
main68,substitution_within_exposed,goods_trade_openness,0.01903695702981073,0.004419848759906703,0.5631238488100059,0.0,0.008662903569417138,0.029143144647954596,-0.0028218280694754586,0.0006875217743257791,0.0,1.0,negative
main68,both_within_exposed,log_gdp_per_capita,0.167700789185492,0.025743512467992533,0.5755229348568558,0.0,0.05045728443726536,0.2424256731459152,-0.0013353428776379716,0.001236471808722701,0.2,0.8,negative
main68,both_within_exposed,pwt_human_capital_index,0.05692408738687039,0.009228398619823528,0.5755229348568558,0.0,0.018087661294854115,0.08228858236150029,-0.0012820537307245369,0.0004221233801795943,0.0,1.0,negative
main68,both_within_exposed,barro_lee_years_schooling_15_64,0.04825406756192118,0.00893037818698626,0.5755229348568558,0.0,0.01750354124649307,0.06975533548496399,-0.0018097604478416076,0.00030958208113464537,0.0,1.0,negative
main68,both_within_exposed,pwt_log_real_capital_stock_per_worker,0.18484580546088847,0.03904818648959082,0.5755229348568558,0.0,0.076534445519598,0.26721024411810856,-0.012405054850666824,0.0003500281094236582,0.0,1.0,negative
main68,both_within_exposed,gross_fixed_capital_formation_pct_gdp,0.015429162385051312,0.002557925482171487,0.5755229348568558,0.0,0.005013533945056115,0.022304159064728407,-0.000676455351830693,0.00014003093597579036,0.0,1.0,negative
main68,both_within_exposed,wgi_government_effectiveness_score,0.05136296357255816,0.0092734734514898,0.5755229348568558,0.0,0.018176007964920006,0.07424950758623947,-0.0004831740617767266,0.0003398108214014536,0.0,1.0,negative
main68,both_within_exposed,wgi_regulatory_quality_score,0.09116553531924247,0.019349427422237206,0.5755229348568558,0.0,0.03792487774758492,0.1317874911311809,0.0051139462269072355,0.0006627088945360761,1.0,0.0,positive
main68,both_within_exposed,internet_users_pct,0.05644130656411192,0.010122140998834189,0.5755229348568558,0.0,0.01983939635771501,0.08159068185365173,-0.0002824314982012531,0.00015867141050708564,0.0,1.0,negative
main68,both_within_exposed,goods_trade_openness,0.019637955365545638,0.004245419765024879,0.5755229348568558,0.0,0.008321022739448762,0.028388325253711426,0.001384503441360098,0.0005111003049775082,1.0,0.0,positive
main68,augmentation_within_exposed,log_gdp_per_capita,0.05473298638996574,0.009049329855617334,0.7239803635154282,0.0,0.017736686517009975,0.052468623886973376,0.006419049253012142,0.0004305615442906826,1.0,0.0,positive
main68,augmentation_within_exposed,pwt_human_capital_index,0.033790641230942435,0.006368100867670335,0.7239803635154282,0.0,0.012481477700633856,0.032392686067117475,0.003509660198167963,0.0004046680714073145,1.0,0.0,positive
main68,augmentation_within_exposed,barro_lee_years_schooling_15_64,0.021418351246330465,0.0034249926326131467,0.7239803635154282,0.0,0.006712985559921767,0.020532251023467386,0.0008332536273993813,0.00042977687866952417,1.0,0.0,positive
main68,augmentation_within_exposed,pwt_log_real_capital_stock_per_worker,0.6281949870168139,0.0936659476569737,0.7239803635154282,0.0,0.18358525740766846,0.6022058848868151,0.02134926479547192,0.00034188661328236387,1.0,0.0,positive
main68,augmentation_within_exposed,gross_fixed_capital_formation_pct_gdp,0.04480033848890155,0.011158838944450382,0.7239803635154282,0.0,0.02187132433112275,0.04294690031045361,-0.003984521920965015,0.0003634410015880871,0.0,1.0,negative
main68,augmentation_within_exposed,wgi_government_effectiveness_score,0.06164985611391515,0.010128381710400243,0.7239803635154282,0.0,0.019851628152384476,0.059099335272523305,0.0038461489708862422,0.0004577930959627366,1.0,0.0,positive
main68,augmentation_within_exposed,wgi_regulatory_quality_score,0.09694144683482527,0.01574651868071439,0.7239803635154282,0.0,0.0308631766142002,0.092930874935192,0.00611011675258872,0.0009288711335056931,1.0,0.0,positive
main68,augmentation_within_exposed,internet_users_pct,0.07322992496478624,0.011293105072265901,0.7239803635154282,0.0,0.022134485941641167,0.07020032422263477,0.0036133114588557695,0.0004856540911888785,1.0,0.0,positive
