iso3,mean_task_exposure_old,substitution_share_old,augmentation_share_old,n_country_task_rows,n_unique_tasks,mean_task_exposure_clean,share_exposed_clean,substitution_share_clean,both_share_clean,augmentation_share_clean,level1_augment_share,economic_exposed_flag_mismatch_share,mean_task_exposure_delta_clean_minus_old,substitution_share_delta_clean_minus_old,augmentation_share_delta_clean_minus_old
HND,1.0583623328162342,0.1297639511970148,0.0500188671334535,18797,18797,1.055647177741129,0.40554343778262486,0.13491514603394159,0.22578070968771613,0.04484758206096717,0.005851997659200936,0.0,-0.0027151550751052245,0.005151194836926776,-0.005171285072486327
HRV,1.485053037608486,0.1940379858286864,0.1084650538761477,18797,18797,1.4798638080544768,0.5899345640261744,0.1987551204979518,0.30042027983188807,0.09075916369633452,0.01681119327552269,0.0,-0.005189229554009245,0.004717134669265405,-0.01770589017981318
HTI,0.4856819420569368,0.0526602658169468,0.0115718418514946,18797,18797,0.4902378039048784,0.15582273767090493,0.057030377187849125,0.08767356493057403,0.01111879555248178,0.0010107995956801618,0.0,0.0045558618479416,0.004370111370902326,-0.00045304629901282006
HUN,1.4758710326611044,0.1997400528279736,0.046497002222129,18797,18797,1.4680002127999148,0.5355109857956056,0.20412831834867265,0.2856838857264457,0.04569878172048731,0.00015959993616002555,0.0,-0.007870819861189648,0.004388265520699042,-0.0007982205016416888
IDN,1.317259308956726,0.1661355249916135,0.0348037571284803,18795,18795,1.3105081138600692,0.47315775472200056,0.17110933758978453,0.26762436818302743,0.034424048949188615,0.00021282255919127428,0.0,-0.006751195096656781,0.004973812598171035,-0.0003797081792916851
IND,1.3863150392017107,0.1763028803823739,0.0401241038111609,18797,18797,1.380752247699101,0.5008245996701601,0.18220992711602915,0.2789274884290046,0.03968718412512635,0.00026599989360004254,0.0,-0.005562791502609743,0.005907046733655247,-0.0004369196860345495
IRL,1.524967506603497,0.1998658337176638,0.0526602658169468,18797,18797,1.5169441932223227,0.5516837793264883,0.20513911794435283,0.29419588232164706,0.052348779060488376,0.00021279991488003404,0.0,-0.008023313381174235,0.005273284226689018,-0.0003114867564584234
IRN,1.2539935432476623,0.1682109764789736,0.0334157896943524,18797,18797,1.2451987019205193,0.45459381816247274,0.17263393094642762,0.24886950045219983,0.03309038676384529,0.0,0.0,-0.008794841327143033,0.004422954467454027,-0.0003254029305071113
IRQ,0.9513647226531382,0.1194499182424217,0.0169384931449415,18797,18797,0.9449380220247912,0.3281374687450125,0.1237963504814598,0.18721072511570996,0.017130393147842742,5.319997872000851e-05,0.0,-0.0064267006283470485,0.004346432239038106,0.00019190000290124354
ISR,1.549769392033543,0.2083857442348008,0.050985324947589,18796,18796,1.5410193658225155,0.5657586720578847,0.21195999148755054,0.30394764843583744,0.0498510321344967,5.320280910832092e-05,0.0,-0.008750026211027384,0.0035742472527497404,-0.001134292813092297
